matricula,media,periodo,posicao
1041228,7.45,041,1
1042694,6.65,042,1
1051259,7.65,051,1
1052181,7.05,052,1
1052696,6.68,052,2
10524,6.08,052,3
1052523,6.08,052,4
1061601,7.6,061,1
1061195,7.4,061,2
1061358,6.58,061,3
1061462,0,061,4
1062790,9.25,062,1
1062152,8.55,062,2
106278,8.5,062,3
106219,8.27,062,4
1062762,8.04,062,5
1062290,7.88,062,6
1062704,7.7,062,7
106244,7.69,062,8
1062531,7.42,062,9
1062236,7.41,062,10
1062158,7.28,062,11
1062526,7.19,062,12
1062626,6.89,062,13
1062399,6.8,062,14
106261,6.43,062,15
1071343,8.88,071,1
1071252,8.74,071,2
1071268,8.56,071,3
1071573,8.5,071,4
1071135,8.45,071,5
1071686,8.4,071,6
1071436,8.25,071,7
107156,8.22,071,8
1071625,8.21,071,9
1071182,8.15,071,10
1071424,8,071,11
1071580,7.99,071,12
1071309,7.88,071,13
1071209,7.56,071,14
1071421,7.42,071,15
107163,7.07,071,16
1071664,7.03,071,17
1071374,7.01,071,18
1071551,6.57,071,19
1071325,3.5,071,20
1072508,8.65,072,1
1072703,8.58,072,2
1072274,8.53,072,3
1072641,8.45,072,4
1072229,8.41,072,5
107296,8.33,072,6
1072460,8.12,072,7
1072550,7.95,072,8
1072347,7.88,072,9
1072404,7.82,072,10
107217,7.71,072,11
1072624,7.25,072,12
1072211,7.21,072,13
107246,6.87,072,14
1072356,6.68,072,15
1072244,5.65,072,16
107220,5,072,17
1072480,3.67,072,18
1081578,9.39,081,1
1081241,9.14,081,2
1081700,8.85,081,3
1081683,8.8,081,4
1081186,8.77,081,5
1081190,8.58,081,6
1081765,8.55,081,7
1081311,8.55,081,8
1081709,8.53,081,9
108186,8.5,081,10
1081400,8.48,081,11
1081141,8.46,081,12
1081178,8.32,081,13
1081149,8.26,081,14
1081406,8.21,081,15
1081521,8.16,081,16
1081539,8.15,081,17
108138,8.12,081,18
1081282,8.1,081,19
1081164,8.05,081,20
1081645,8.03,081,21
1081332,7.96,081,22
1081609,7.92,081,23
1081467,7.72,081,24
1081510,7.6,081,25
1081763,7.55,081,26
1081672,6.27,081,27
1081191,5.36,081,28
1081452,0,081,29
1082192,8.62,082,1
1082310,8.51,082,2
1082789,8.4,082,3
108254,8.39,082,4
1082216,8.02,082,5
1082156,8,082,6
1082751,7.89,082,7
1082747,7.77,082,8
1082587,7.68,082,9
108262,7.68,082,10
1082767,7.65,082,11
1082346,7.56,082,12
1082100,7.54,082,13
1082796,7.4,082,14
1082658,7.37,082,15
1082303,7.26,082,16
108267,7.07,082,17
1082738,7.03,082,18
1082497,5.81,082,19
108218,5.76,082,20
1082593,4.76,082,21
1091150,8.66,091,1
1091733,8.64,091,2
1091671,8.62,091,3
1091648,8.57,091,4
109187,8.5,091,5
1091414,8.03,091,6
1091230,7.9,091,7
1091631,7.8,091,8
1091565,7.77,091,9
1091665,7.69,091,10
1091720,7.67,091,11
1091300,7.65,091,12
1091744,7.65,091,13
1091768,7.61,091,14
1091490,7.51,091,15
1091557,7.42,091,16
1091476,7.42,091,17
1091756,7.34,091,18
1091364,7.32,091,19
1091530,7.29,091,20
1091461,7.29,091,21
1091691,7.24,091,22
1091668,7.15,091,23
1091569,6.96,091,24
1091133,6.93,091,25
1091577,6.89,091,26
109112,6.68,091,27
1091439,6.66,091,28
109173,6.66,091,29
1091203,6.61,091,30
109164,6.57,091,31
1091116,6.33,091,32
109131,5.92,091,33
1091553,5.74,091,34
1091368,5.74,091,35
1091131,5.64,091,36
1091457,5.3,091,37
1091623,5.24,091,38
1091576,5.22,091,39
1091598,5.17,091,40
1091479,4.79,091,41
109170,4.55,091,42
1091769,4.17,091,43
1091144,3.35,091,44
1092275,8.72,092,1
1092107,8.68,092,2
1092427,8.53,092,3
1092288,8.45,092,4
1092352,8.44,092,5
1092251,8.4,092,6
1092322,8.32,092,7
1092380,7.99,092,8
1092212,7.95,092,9
109245,7.87,092,10
1092355,7.77,092,11
1092103,7.14,092,12
1092398,7.06,092,13
10928,6.92,092,14
1092597,6.88,092,15
1092375,6.8,092,16
1092749,6.78,092,17
1092249,6.14,092,18
1092675,6.12,092,19
1092483,6.05,092,20
1092465,6.03,092,21
1092685,5.82,092,22
1092559,5.81,092,23
1092277,5.61,092,24
1092513,5.47,092,25
109250,5.31,092,26
1092742,5.21,092,27
1092618,5,092,28
1092574,4.97,092,29
