"matricula" "media" "periodo" "posicao"
"104110023" "7.4" "041" "1"
"105110107" "7.64" "051" "1"
"105210138" "6.53" "052" "1"
"105210131" "6.12" "052" "2"
"105210160" "6.08" "052" "3"
"106110138" "7.82" "061" "1"
"106110125" "7.4" "061" "2"
"106110145" "6.5" "061" "3"
"106110120" "0" "061" "4"
"106210599" "9.25" "062" "1"
"106210167" "8.55" "062" "2"
"106210147" "8.5" "062" "3"
"106210166" "8.41" "062" "4"
"106210598" "8.08" "062" "5"
"106210162" "7.9" "062" "6"
"106210158" "7.84" "062" "7"
"106210601" "7.68" "062" "8"
"106210165" "7.34" "062" "9"
"106210600" "7.3" "062" "10"
"106210596" "7.09" "062" "11"
"106210157" "6.96" "062" "12"
"106210151" "6.73" "062" "13"
"106210159" "6.62" "062" "14"
"107110028" "8.82" "071" "1"
"107110012" "8.7" "071" "2"
"107110436" "8.65" "071" "3"
"107110031" "8.54" "071" "4"
"107110016" "8.5" "071" "5"
"107110035" "8.27" "071" "6"
"107110025" "8.15" "071" "7"
"107110014" "8.14" "071" "8"
"107110005" "8.13" "071" "9"
"107110021" "8.12" "071" "10"
"107110610" "7.97" "071" "11"
"107110001" "7.87" "071" "12"
"107110003" "7.86" "071" "13"
"107110017" "7.4" "071" "14"
"107110437" "7.34" "071" "15"
"107110434" "6.91" "071" "16"
"107110032" "6.9" "071" "17"
"107110563" "6.88" "071" "18"
"107110030" "6.44" "071" "19"
"107210015" "8.57" "072" "1"
"107210226" "8.52" "072" "2"
"107210011" "8.47" "072" "3"
"107210017" "8.44" "072" "4"
"107210016" "8.34" "072" "5"
"107210004" "8.2" "072" "6"
"107210007" "8.02" "072" "7"
"107210032" "7.89" "072" "8"
"107210012" "7.8" "072" "9"
"107210001" "7.7" "072" "10"
"107210013" "6.9" "072" "11"
"107210010" "6.86" "072" "12"
"107210030" "6.77" "072" "13"
"107210333" "6.53" "072" "14"
"107210009" "6.39" "072" "15"
"107210224" "5.54" "072" "16"
"107210223" "5.17" "072" "17"
"107210037" "2.56" "072" "18"
"108110502" "9.46" "081" "1"
"108110035" "9.25" "081" "2"
"108110007" "8.97" "081" "3"
"108110024" "8.9" "081" "4"
"108110002" "8.87" "081" "5"
"108110005" "8.59" "081" "6"
"108110604" "8.53" "081" "7"
"108110032" "8.5" "081" "8"
"108110031" "8.47" "081" "9"
"108110018" "8.46" "081" "10"
"108110003" "8.45" "081" "11"
"108110021" "8.45" "081" "12"
"108110010" "8.34" "081" "13"
"108110028" "8.22" "081" "14"
"108110500" "8.21" "081" "15"
"108110013" "8.14" "081" "16"
"108110034" "8.08" "081" "17"
"108110023" "8.04" "081" "18"
"108110020" "8.02" "081" "19"
"108110025" "8.01" "081" "20"
"108110001" "7.93" "081" "21"
"108110015" "7.83" "081" "22"
"108110009" "7.81" "081" "23"
"108110501" "7.68" "081" "24"
"108110016" "7.45" "081" "25"
"108110004" "7.34" "081" "26"
"108110498" "0" "081" "27"
"108210200" "8.59" "082" "1"
"108210284" "8.53" "082" "2"
"108210204" "8.34" "082" "3"
"108210206" "8.32" "082" "4"
"108210202" "7.97" "082" "5"
"108210334" "7.82" "082" "6"
"108210282" "7.75" "082" "7"
"108210351" "7.7" "082" "8"
"108210004" "7.55" "082" "9"
"108210354" "7.52" "082" "10"
"108210022" "7.44" "082" "11"
"108210205" "7.43" "082" "12"
"108210211" "7.36" "082" "13"
"108210039" "7.18" "082" "14"
"108210312" "7.13" "082" "15"
"108210353" "6.91" "082" "16"
"108210030" "6.86" "082" "17"
"108210207" "5.49" "082" "18"
"108210348" "4.62" "082" "19"
"109110122" "8.65" "091" "1"
"109110084" "8.62" "091" "2"
"109110085" "8.61" "091" "3"
"109110100" "8.51" "091" "4"
"109110063" "8.47" "091" "5"
"109110116" "8.45" "091" "6"
"109110065" "7.8" "091" "7"
"109110075" "7.77" "091" "8"
"109110119" "7.76" "091" "9"
"109150001" "7.74" "091" "10"
"109110029" "7.54" "091" "11"
"109110068" "7.53" "091" "12"
"109110808" "7.52" "091" "13"
"109110115" "7.47" "091" "14"
"109110032" "7.42" "091" "15"
"109110073" "7.36" "091" "16"
"109110089" "7.35" "091" "17"
"109110118" "7.33" "091" "18"
"109110070" "7.28" "091" "19"
"109150027" "7.13" "091" "20"
"109110120" "7.1" "091" "21"
"109110108" "7.04" "091" "22"
"109110066" "6.88" "091" "23"
"109110061" "6.58" "091" "24"
"109110111" "6.47" "091" "25"
"109110074" "6.42" "091" "26"
"109110054" "6.41" "091" "27"
"109110079" "6.33" "091" "28"
"109110805" "6.17" "091" "29"
"109110807" "6" "091" "30"
"109110076" "5.78" "091" "31"
"109110806" "5.52" "091" "32"
"109110057" "5.51" "091" "33"
"109110800" "5.27" "091" "34"
"109110056" "5.05" "091" "35"
"109110801" "4.91" "091" "36"
"109150028" "4.72" "091" "37"
"109110030" "4.12" "091" "38"
"109110080" "3.61" "091" "39"
"109210300" "8.77" "092" "1"
"109210286" "8.66" "092" "2"
"109210015" "8.64" "092" "3"
"109210034" "8.55" "092" "4"
"109210065" "8.53" "092" "5"
"109210060" "8.39" "092" "6"
"109210282" "8.34" "092" "7"
"109210019" "7.9" "092" "8"
"109210030" "7.85" "092" "9"
"109210036" "7.77" "092" "10"
"109210285" "7.7" "092" "11"
"109210493" "7.59" "092" "12"
"109210011" "6.98" "092" "13"
"109210029" "6.85" "092" "14"
"109210299" "6.76" "092" "15"
"109210288" "6.61" "092" "16"
"109210043" "6.11" "092" "17"
"109210059" "6.02" "092" "18"
"109210293" "5.86" "092" "19"
"109210046" "5.81" "092" "20"
"109210009" "5.7" "092" "21"
"109210057" "5.47" "092" "22"
"109210294" "5.47" "092" "23"
"109210049" "5.39" "092" "24"
"109210422" "5.34" "092" "25"
"109210001" "5.16" "092" "26"
"109210296" "5" "092" "27"
"109210063" "4.97" "092" "28"
"109210291" "4.71" "092" "29"
"109210051" "4.56" "092" "30"
"109210055" "4.02" "092" "31"
"109210053" "3.7" "092" "32"
"109210014" "3.59" "092" "33"
"109210295" "3.32" "092" "34"
"109210018" "2.28" "092" "35"
"109210026" "2.21" "092" "36"
"109210039" "0" "092" "37"
"110110125" "9.32" "101" "1"
"110110110" "9" "101" "2"
"110110074" "8.84" "101" "3"
"110110047" "8.81" "101" "4"
"110110058" "8.56" "101" "5"
"110110081" "8.12" "101" "6"
"110110094" "8.01" "101" "7"
"110110073" "7.94" "101" "8"
"110110853" "7.94" "101" "9"
"110110121" "7.91" "101" "10"
"110110116" "7.85" "101" "11"
"110110132" "7.76" "101" "12"
"110110124" "7.75" "101" "13"
"110110078" "7.72" "101" "14"
"110110093" "7.72" "101" "15"
"110110076" "7.66" "101" "16"
"110110049" "7.62" "101" "17"
"110110091" "7.49" "101" "18"
"110110117" "7.44" "101" "19"
"110110052" "7.36" "101" "20"
"110110127" "7.15" "101" "21"
"110110085" "7.14" "101" "22"
"110110053" "6.93" "101" "23"
"110110095" "6.82" "101" "24"
"110110069" "6.79" "101" "25"
"110110114" "6.79" "101" "26"
"110110087" "6.77" "101" "27"
"110110070" "6.76" "101" "28"
"110110106" "6.7" "101" "29"
"110110123" "6.7" "101" "30"
"110110973" "6.62" "101" "31"
"110110118" "6.55" "101" "32"
"110110096" "6.44" "101" "33"
"110110088" "6.42" "101" "34"
"110150169" "6.37" "101" "35"
"110110061" "6.31" "101" "36"
"110110129" "6.31" "101" "37"
"110110848" "6.3" "101" "38"
"110110120" "6.24" "101" "39"
"110110065" "6.16" "101" "40"
"110110072" "6.03" "101" "41"
"110110974" "5.99" "101" "42"
"110110857" "5.98" "101" "43"
"110110062" "5.96" "101" "44"
"110110043" "5.81" "101" "45"
"110110100" "5.81" "101" "46"
"110150167" "5.64" "101" "47"
"110110851" "5.62" "101" "48"
"110110044" "5.42" "101" "49"
"110110055" "4.95" "101" "50"
"110110104" "4.93" "101" "51"
"110150173" "4.58" "101" "52"
"110110107" "4.19" "101" "53"
"110150011" "3.71" "101" "54"
"110110852" "3.15" "101" "55"
"110110067" "2.71" "101" "56"
"110110126" "1.25" "101" "57"
"110150214" "0" "101" "58"
"110210088" "8.38" "102" "1"
"110210526" "8.31" "102" "2"
"110210102" "7.94" "102" "3"
"110210045" "7.59" "102" "4"
"110210083" "7.25" "102" "5"
"110210128" "7.12" "102" "6"
"110210068" "7.08" "102" "7"
"110210079" "6.99" "102" "8"
"110210047" "6.95" "102" "9"
"110210388" "6.58" "102" "10"
"110210114" "6.48" "102" "11"
"110210061" "6.4" "102" "12"
"110210072" "6.39" "102" "13"
"110210397" "6.34" "102" "14"
"110210390" "6.33" "102" "15"
"110210110" "6.32" "102" "16"
"110210044" "6.19" "102" "17"
